European,,2.77874,,,,American,,2.77874
N,BiTree,AvgBiTree,BBS,BBSR,,BiTree,AvgBiTree,BBS,BBSR
10,2.886918874,2.79638985,2.808234755,2.77996198,,2.933613513,2.845177439,2.849968046,2.832748018
11,2.705860825,2.786415388,2.807882379,2.779257228,,2.756741365,2.835899529,2.847438115,2.827688155
12,2.86696995,2.805108485,2.803718998,2.78161762,,2.915057693,2.850979471,2.846342255,2.831097081
13,2.74324702,2.796592786,2.803569775,2.781319174,,2.78690125,2.842801,2.843877581,2.826167733
14,2.849938553,2.808633013,2.80046395,2.778330868,,2.898700749,2.853797501,2.843139461,2.827943865
15,2.767327473,2.801284541,2.800311926,2.778026819,,2.808894253,2.846762082,2.841030928,2.8237268
16,2.835241609,2.809227459,2.798003418,2.781086644,,2.884629911,2.854910398,2.839870471,2.824800674
17,2.783213308,2.802814836,2.797769414,2.780618636,,2.825190884,2.848808342,2.839864303,2.824788339
18,2.822416365,2.808106639,2.796074001,2.778302525,,2.8724258,2.854163978,2.838553496,2.826800598
19,2.793796913,2.802452309,2.795734989,2.7776245,,2.835902157,2.848761997,2.838582408,2.826858422
20,2.811107706,2.805962802,2.794516056,2.780797357,,2.861621838,2.852098519,2.837534012,2.825099978
21,2.800817898,2.800930661,2.794074824,2.779914892,,2.842575201,2.847194712,2.837082435,2.824196824
22,2.801043423,2.803208564,2.793227519,2.778572659,,2.851814223,2.849826654,2.836398653,2.825359192
23,2.805373705,2.798693325,2.792698472,2.777514565,,2.847839085,2.845410018,2.835753133,2.824068152
24,2.792012944,2.800098346,2.792140336,2.780561675,,2.842980951,2.847005001,2.835227701,2.824113147
25,2.808183748,2.796017553,2.791542461,2.779365923,,2.851029051,2.842976424,2.834878199,2.823414144
26,2.783851358,2.796793026,2.791207564,2.778845353,,2.834923797,2.843946875,2.834046701,2.824215821
27,2.809734693,2.793081267,2.790560823,2.77755187,,2.852969954,2.840247524,2.834183537,2.824489494
28,2.77642784,2.793396164,2.790395889,2.780327828,,2.827525094,2.840685546,2.833308799,2.823478138
29,2.810364487,2.790000892,2.789719375,2.7789748,,2.853845998,2.837300141,2.833624498,2.824109535
30,2.769637296,2.789975161,2.789681102,2.779050278,,2.820754283,2.837309448,2.832753479,2.82447603
31,2.810313026,2.786853668,2.788992121,2.777672317,,2.853864614,2.834234777,2.832952379,2.824873829
32,2.76339431,2.786574064,2.78904524,2.780087061,,2.81460494,2.834063634,2.832319504,2.824768536
33,2.809753818,2.78369126,2.788358907,2.778714396,,2.853522327,2.831263287,2.832235231,2.82459999
34,2.757628702,2.783221537,2.788474725,2.779180036,,2.809004247,2.830960139,2.831848383,2.823832463
35,2.808814371,2.780548304,2.78780385,2.777838286,,2.852916032,2.828352076,2.831565867,2.823267431
36,2.752282236,2.77993596,2.787959128,2.779844255,,2.803788119,2.827876904,2.831310335,2.824067173
37,2.807589684,2.779005075,2.787314257,2.778554514,,2.851965689,2.826219293,2.830992869,2.823432241
38,2.750420465,2.778285917,2.787490312,2.779245635,,2.800472897,2.825586438,2.83080488,2.823027351
39,2.806151369,2.781640368,2.786879864,2.778024738,,2.850699978,2.827348992,2.83058931,2.822596213
40,2.757129366,2.780841662,2.787061837,2.779607618,,2.803998006,2.826659928,2.830532675,2.823531338
41,2.804553957,2.783700354,2.786492279,2.778468502,,2.849321851,2.828959594,2.830119785,2.822705557
42,2.76284675,2.782843039,2.78666854,2.779262257,,2.808597337,2.828200992,2.830208223,2.823334012
43,2.802839328,2.785282703,2.786144588,2.778214352,,2.847804647,2.830180427,2.82984661,2.822610785
44,2.767726078,2.784382979,2.786306226,2.779384932,,2.812556206,2.829346574,2.829842652,2.82328665
45,2.801039879,2.786466343,2.785831046,2.778434572,,2.846136942,2.83119378,2.829609361,2.822820068
46,2.771892807,2.785536816,2.785971441,2.77924441,,2.816250618,2.830319924,2.829541686,2.823330238
47,2.799180826,2.787315572,2.78554685,2.778395227,,2.84438923,2.83193151,2.829338678,2.822924222
48,2.775450319,2.786366101,2.785661312,2.779182287,,2.819473789,2.831027483,2.82926508,2.82330246
49,2.797281884,2.787883153,2.785287965,2.778435593,,2.842581176,2.832407841,2.829049239,2.822870776
50,2.778484423,2.786921475,2.785373414,2.779204368,,2.822234506,2.831492923,2.82900859,2.823138981
51,2.795358527,2.788212674,2.785050984,2.778559507,,2.84075134,2.832753935,2.828749374,2.822620548
52,2.781066822,2.787244876,2.785105684,2.779003805,,2.824756531,2.831851829,2.828778469,2.823510238
53,2.79342293,2.788340363,2.784833019,2.778458473,,2.838947128,2.83290626,2.828438913,2.822831124
54,2.783257796,2.787371239,2.784856341,2.779151859,,2.826865393,2.832021243,2.828594566,2.823005594
55,2.791484683,2.788296498,2.784631615,2.778702408,,2.837177093,2.832903742,2.82819999,2.822216442
56,2.785108314,2.787329826,2.784623833,2.778851777,,2.828630392,2.832001509,2.828388663,2.823468527
57,2.789551339,2.788106517,2.784444681,2.778493473,,2.835372626,2.832757613,2.827999071,2.822689343
58,2.786661696,2.787145267,2.784406797,2.779094219,,2.830142599,2.831849559,2.828226268,2.822828037
59,2.787628837,2.78779189,2.78427043,2.778821485,,2.833556518,2.832464848,2.827819503,2.822014507
60,2.787954943,2.786838388,2.784204022,2.778726941,,2.831373177,2.83155693,2.828048177,2.823342876
61,2.785721832,2.787370815,2.784107334,2.778533566,,2.831740683,2.832055818,2.82768449,2.822615501
62,2.789019799,2.786426875,2.784014422,2.779036724,,2.832370954,2.831175524,2.827847284,2.822742189
63,2.783833952,2.786858783,2.783954084,2.778916047,,2.829980095,2.831614644,2.827571561,2.822190744
64,2.789883614,2.785925806,2.78383702,2.778628801,,2.833249194,2.830737728,2.827639318,2.822959132
65,2.781967999,2.786269023,2.783809559,2.778573878,,2.828226262,2.831099517,2.827459381,2.822599258
66,2.790570048,2.78534808,2.783670926,2.778982946,,2.833972771,2.830223696,2.82745237,2.822669509
67,2.780126113,2.785612876,2.783672797,2.778986687,,2.82647462,2.830512971,2.827323095,2.822410959
68,2.791099639,2.784704768,2.783515327,2.77855593,,2.834551321,2.829653023,2.827275585,2.822702786
69,2.778309897,2.78490009,2.783542973,2.778611221,,2.824754725,2.82987457,2.827191962,2.822535541
70,2.791490283,2.784005403,2.783369477,2.778935103,,2.834994415,2.829020557,2.827103743,2.822641619
71,2.776520523,2.78413907,2.783419379,2.779034909,,2.823046699,2.829182911,2.82703897,2.822512072
72,2.791757617,2.783258215,2.783232684,2.778506241,,2.835319122,2.828333123,2.827007187,2.82270404
73,2.774758812,2.783337083,2.783301409,2.778643689,,2.821347123,2.828429133,2.826868834,2.822427334
74,2.791915353,2.782470328,2.783104312,2.778894367,,2.835511143,2.827591306,2.82690006,2.822807251
75,2.773025302,2.782500422,2.78318854,2.779062823,,2.819671469,2.827632739,2.826716058,2.822439247
76,2.791975543,2.781647922,2.782983766,2.77847722,,2.835594009,2.826813954,2.826775681,2.822746483
77,2.7713203,2.781634556,2.783080327,2.778670343,,2.818033898,2.826817329,2.826622764,2.822440648
78,2.791948811,2.780796371,2.782870492,2.778861121,,2.83560076,2.826013862,2.826637303,2.822685295
79,2.76964393,2.780744239,2.782976387,2.77907291,,2.816426965,2.825982428,2.826544829,2.822500348
80,2.791844549,2.779920356,2.782763975,2.778466113,,2.83553789,2.825189845,2.826500019,2.822467364
81,2.767996164,2.779833618,2.782876391,2.778690944,,2.814841799,2.825123221,2.826475916,2.822419158
82,2.791671073,2.779023963,2.782663732,2.778835185,,2.835404643,2.824342225,2.826376581,2.822633377
83,2.766376854,2.778906311,2.782780057,2.779067835,,2.813279808,2.824239266,2.826398162,2.822676539
84,2.791435768,2.77870046,2.782569311,2.778470081,,2.835198725,2.823757225,2.826278683,2.822349142
85,2.765965151,2.778555177,2.782687144,2.778705747,,2.812315725,2.823628913,2.826310783,2.822413343
86,2.791145203,2.779542439,2.782480288,2.778815989,,2.834942102,2.824142288,2.826182202,2.822517793
87,2.767939675,2.779372456,2.782597443,2.779050298,,2.813342474,2.824005569,2.826225533,2.822604456
88,2.790805237,2.780279082,2.782396269,2.778486313,,2.834668664,2.824706159,2.826077987,2.822313322
89,2.769752927,2.780087013,2.782510777,2.778715328,,2.814743654,2.824542736,2.826143949,2.822445246
90,2.790421099,2.780919288,2.782316882,2.778802719,,2.834341819,2.825198174,2.825982328,2.822355295
91,2.771417477,2.780707474,2.78242699,2.779022935,,2.81605453,2.825012914,2.826059148,2.822508936
92,2.789997471,2.781471103,2.78224178,2.778512119,,2.833971298,2.825676035,2.825886281,2.822230877
93,2.772944735,2.781241641,2.782345951,2.77872046,,2.817380773,2.82547259,2.825974238,2.822406791
94,2.789538547,2.781941814,2.782170638,2.778794426,,2.833564407,2.826082001,2.825801081,2.822263485
95,2.774345081,2.781696586,2.782267541,2.778988233,,2.818599595,2.825868102,2.825909204,2.82247973
96,2.789048091,2.78233803,2.782103152,2.778544993,,2.83313661,2.826423603,2.825731763,2.822198445
97,2.77562797,2.782078729,2.782191661,2.77872201,,2.819710596,2.826198472,2.825846965,2.822428849
98,2.788529488,2.78266576,2.782039039,2.778790114,,2.832686348,2.826727442,2.825659657,2.822270076
99,2.776802032,2.782393909,2.782118221,2.778948476,,2.820768537,2.82648445,2.825777247,2.822505255
100,2.787985786,2.782930471,2.781978035,2.778582655,,2.832200363,2.826968168,2.825605248,2.822201905
